Class frequencies:
client,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,Amount
Client   0,0.086,0.118,0.120,0.082,0.098,0.124,0.076,0.116,0.098,0.082,500
Client   1,0.090,0.092,0.112,0.100,0.096,0.088,0.112,0.098,0.092,0.120,500
Client   2,0.098,0.074,0.108,0.092,0.084,0.128,0.086,0.106,0.118,0.106,500
Client   3,0.116,0.116,0.100,0.098,0.102,0.070,0.092,0.098,0.104,0.104,500
Client   4,0.100,0.092,0.114,0.104,0.100,0.088,0.096,0.122,0.080,0.104,500
Client   5,0.104,0.118,0.106,0.092,0.102,0.110,0.088,0.098,0.102,0.080,500
Client   6,0.092,0.096,0.090,0.094,0.100,0.106,0.110,0.086,0.120,0.106,500
Client   7,0.074,0.106,0.130,0.104,0.118,0.086,0.078,0.106,0.100,0.098,500
Client   8,0.132,0.104,0.074,0.082,0.100,0.086,0.108,0.102,0.112,0.100,500
Client   9,0.098,0.110,0.118,0.080,0.112,0.076,0.102,0.110,0.078,0.116,500
Client  10,0.090,0.112,0.094,0.098,0.112,0.096,0.092,0.110,0.114,0.082,500
Client  11,0.100,0.112,0.106,0.082,0.070,0.104,0.092,0.108,0.094,0.132,500
Client  12,0.116,0.090,0.120,0.096,0.116,0.100,0.088,0.084,0.118,0.072,500
Client  13,0.094,0.086,0.092,0.118,0.100,0.098,0.114,0.082,0.108,0.108,500
Client  14,0.120,0.100,0.110,0.114,0.094,0.098,0.096,0.086,0.084,0.098,500
Client  15,0.074,0.118,0.098,0.104,0.110,0.104,0.082,0.112,0.102,0.096,500
Client  16,0.076,0.080,0.124,0.110,0.108,0.094,0.094,0.102,0.092,0.120,500
Client  17,0.106,0.106,0.124,0.090,0.076,0.110,0.108,0.106,0.094,0.080,500
Client  18,0.078,0.094,0.112,0.102,0.080,0.106,0.096,0.112,0.112,0.108,500
Client  19,0.106,0.092,0.098,0.090,0.110,0.090,0.092,0.116,0.108,0.098,500
Client  20,0.086,0.092,0.104,0.112,0.104,0.098,0.102,0.088,0.120,0.094,500
